emoticon_pack_id,title,description,keyword
1,인삼_뿌듯_좋아요.png,한 손을 들고 미소짓는 모습에서 만족감과 긍정적인 감정이 느껴짐. 무언가에 대한 만족감을 표현하는 듯함.,"좋아,좋았,좋다,좋네,좋음,좋은,좋게,좋을,조아,조타,조음,조은,나이,굿,짱,뿌듯,"
1,인삼_응원_아자아자.png,주먹을 쥐고 힘차게 응원하는 모습. 굳은 의지를 보이며 상대를 격려하고 용기를 북돋아준다.,"아자,응원,격려,의지,"
1,인삼_뿌듯_좋습니다.png,엄지손가락을 치켜세우며 만족스러운 듯한 표정을 짓고 있다. 긍정적인 감정을 표현하는 모습이다.,"좋아,좋았,좋다,좋네,좋음,좋은,좋게,좋을,조아,조타,조음,조은,나이,굿,짱,뿌듯,"
1,인삼_뿌듯_자신만만.png,팔짱을 끼고 눈을 감은 채 만족스러운 표정을 짓고 있다. 스스로에 대한 믿음이 강하게 느껴진다.,"뿌듯,자신,"
1,인삼_설렘_가보자고.png,활기찬 모습으로 손가락질하며 앞으로 나아가려는 의지를 보인다. 긍정적인 에너지가 느껴진다.,"설레,가보,의욕,활기,"
1,인삼_기대_준비완료.png,미소를 지으며 무언가를 준비하고 기다리는 듯한 모습이다. 만족스러운 표정이 엿보인다.,"기대,준비,"
1,인삼_격려_할 수 있다.png,주먹을 쥐고 무언가를 다짐하는 듯한 모습이다. 긍정적인 의지를 북돋아주는 듯한 행동을 보인다.,"격려,할수,"
1,인삼_응원_파이팅.png,활짝 웃으며 두 팔을 들고 응원하는 모습이다. 긍정적인 기운을 북돋아 주는 듯하다.,"파이,응원,"
1,인삼_축하_경축.png,메달을 든 채 기쁨을 감추지 못하고 얼굴을 찡그리며 감격에 벅찬 듯한 모습이다.,"경축,축하,기쁨,감격,"
1,인삼_축하_멋지지.png,메달을 걸고 멋지지 않냐며 자랑을 하는 포즈.,"멋지,"
1,인삼_기대중.png,무언가를 기다리며 은근한 미소를 짓고 있다. 긍정적인 감정을 내비치며 기대하는 모습이다.,"기대,"
1,인삼_축하_해냈다.png,"두 손을 모으고 붉은색 리본을 착용한 채, 무언가를 해냈다는 듯 기뻐하며 환하게 웃고 있다.","해냈,축하,"
1,인삼_응원해.png,팔짱을 끼고 누군가를 격려하며 응원하는 모습이다. 미소를 짓고 있어 긍정적인 감정을 표현한다.,"응원,격려,"
